tracking_event_id,tracking_number,batch_id,raw_payload,created_at,has_ascan,has_dscan,time_since_last_scan_days,carrier_accepted_date,carrier_delivery_date,label_print_date,last_tracking_event,last_tracking_event_date,MaerskTrackingNumber,TrackingNumber
,9200190371263900958633,,,,TRUE,TRUE,272,7/3/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,8/12/2025,1MTEM01A60011208686,
,9200190371472212364067,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A60011210094,
,9200190371472212375971,,,,TRUE,TRUE,305,7/9/2025,7/10/2025,7/1/2025,Delivered in/at mailbox,7/10/2025,1MTEM01A60011213839,
,9200190371263900959043,,,,TRUE,TRUE,299,7/9/2025,7/16/2025,7/1/2025,Delivered in/at mailbox,7/16/2025,1MTEM01A60011213996,
,9200190371472212384485,,,,TRUE,TRUE,310,7/1/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A60011216630,
,9200190371472212390042,,,,TRUE,TRUE,310,7/1/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A60011218407,
,9234690371472201341835,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A60011219554,
,9234690371333600000962,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,"Delivered, Parcel Locker",7/5/2025,1MTEM01A60011222121,
,9200190371472212408464,,,,TRUE,TRUE,305,7/3/2025,7/10/2025,7/1/2025,Delivered in/at mailbox,7/10/2025,1MTEM01A60011224921,
,9200190371472212411280,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A60011225786,
,9200190371472212410948,,,,TRUE,TRUE,312,7/2/2025,7/3/2025,7/1/2025,Delivered in/at mailbox,7/3/2025,1MTEM01A60011226068,
,9200190371472212414670,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A60011227126,
,9200190371472212431196,,,,TRUE,TRUE,310,7/1/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A60011232504,
,9200190371472212450142,,,,TRUE,TRUE,304,7/10/2025,7/11/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/11/2025,1MTEM01A60011239062,
,9234690371472201350301,,,,TRUE,TRUE,306,7/3/2025,7/9/2025,7/1/2025,Delivered in/at mailbox,7/9/2025,1MTEM01A60011239512,
,9200190371472212463500,,,,TRUE,TRUE,272,7/10/2025,7/14/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",8/12/2025,1MTEM01A60011243663,
,9234690371472201352701,,,,TRUE,TRUE,312,7/2/2025,7/3/2025,7/1/2025,Delivered in/at mailbox,7/3/2025,1MTEM01A60011243966,
,9200190371472212467379,,,,TRUE,TRUE,301,7/8/2025,7/14/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/14/2025,1MTEM01A60011244855,
,9200190371472212488886,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A60011250784,
,9200190371472212489111,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A60011250885,
,9200190371333900135591,,,,TRUE,TRUE,301,7/9/2025,7/14/2025,7/1/2025,Delivered in/at mailbox,7/14/2025,1MTEM01A60011253259,
,9200190370043000121356,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,Delivered at Back door/Safe place,7/7/2025,1MTEM01A60011254508,
,9200190371472212516046,,,,TRUE,TRUE,307,7/6/2025,7/8/2025,7/1/2025,Delivered in/at mailbox,7/8/2025,1MTEM01A60011258030,
,9200190371472212516664,,,,TRUE,TRUE,305,7/8/2025,7/10/2025,7/1/2025,Delivered in/at mailbox,7/10/2025,1MTEM01A60011258209,
,9200190371472212519320,,,,TRUE,TRUE,301,7/12/2025,7/14/2025,7/1/2025,Delivered in/at mailbox,7/14/2025,1MTEM01A60011259031,
,9200190371472212520951,,,,TRUE,TRUE,301,7/11/2025,7/14/2025,7/1/2025,Delivered in/at mailbox,7/14/2025,1MTEM01A60011259558,
,9200190371472212524553,,,,TRUE,TRUE,312,7/2/2025,7/3/2025,7/1/2025,Delivered in/at mailbox,7/3/2025,1MTEM01A60011260347,
,9200190371472212528421,,,,TRUE,TRUE,310,7/4/2025,7/5/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/5/2025,1MTEM01A60011261236,
,9200190371472212537591,,,,TRUE,TRUE,312,7/2/2025,7/3/2025,7/1/2025,Delivered in/at mailbox,7/3/2025,1MTEM01A60011263654,
,9200190371472212539472,,,,TRUE,TRUE,308,7/3/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A60011264172,
,9234690372425000015765,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/5/2025,1MTEM01A60011267489,
,9200190371472212558305,,,,TRUE,TRUE,309,7/2/2025,7/6/2025,7/1/2025,Delivered in/at mailbox,7/6/2025,1MTEM01A60011269414,
,9200190371472212568939,,,,TRUE,TRUE,305,7/8/2025,7/10/2025,7/1/2025,Delivered in/at mailbox,7/10/2025,1MTEM01A60011272621,
,9200190371455700603329,,,,TRUE,TRUE,308,7/4/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A60011277558,
,9200190371748800262665,,,,TRUE,TRUE,309,7/2/2025,7/6/2025,7/1/2025,Delivered in/at mailbox,7/6/2025,1MTEM01A60011278425,
,9200190372425000125431,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A60011278650,
,9200190372425600112565,,,,TRUE,TRUE,305,7/2/2025,7/10/2025,7/1/2025,Delivered in/at mailbox,7/10/2025,1MTEM01A60011279583,
,9200190371263400326345,,,,TRUE,TRUE,312,7/1/2025,7/3/2025,7/1/2025,Delivered in/at mailbox,7/3/2025,1MTEM01A60011282666,
,9200190371472212610980,,,,TRUE,TRUE,310,7/3/2025,7/5/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/5/2025,1MTEM01A60011285513,
,9200190371263900972172,,,,TRUE,TRUE,308,7/3/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A60011298922,
,9200190371472212645692,,,,TRUE,TRUE,310,7/3/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A60011326878,
,9200190371472212647580,,,,TRUE,TRUE,296,7/15/2025,7/19/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/19/2025,1MTEM01A60011327947,
,9200190371472212656803,,,,TRUE,TRUE,310,7/3/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A60011349019,
,9200190371472212665003,,,,TRUE,TRUE,308,7/3/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A60011361349,
,9200190371472212358530,,,,TRUE,TRUE,307,7/8/2025,7/8/2025,7/1/2025,Delivered in/at mailbox,7/8/2025,1MTEM01A80016943227,
,9200190371472212364913,,,,TRUE,TRUE,272,7/2/2025,7/5/2025,7/1/2025,Delivered at Back door/Safe place,8/12/2025,1MTEM01A80016945421,
,9200190371472212373373,,,,TRUE,TRUE,310,7/3/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A80016948143,
,9200190371472212381200,,,,TRUE,TRUE,310,7/1/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A80016950753,
,9200190371472212388711,,,,TRUE,TRUE,301,7/10/2025,7/14/2025,7/1/2025,Delivered in/at mailbox,7/14/2025,1MTEM01A80016953015,
,9234690371455700028902,,,,TRUE,TRUE,306,7/7/2025,7/9/2025,7/1/2025,Delivered in/at mailbox,7/9/2025,1MTEM01A80016954094,
,9200190371455700600069,,,,TRUE,TRUE,308,7/3/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A80016963139,
,9200190371472212425690,,,,TRUE,TRUE,305,7/3/2025,7/10/2025,7/1/2025,Parcel Successfully Delivered,7/10/2025,1MTEM01A80016965614,
,9200190371472212426291,,,,TRUE,TRUE,307,7/3/2025,7/8/2025,7/1/2025,Delivered in/at mailbox,7/8/2025,1MTEM01A80016965849,
,9200190371472212427991,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A80016966626,
,9200190371472212438263,,,,TRUE,TRUE,312,7/2/2025,7/3/2025,7/1/2025,Delivered in/at mailbox,7/3/2025,1MTEM01A80016970058,
,9200190371472212439192,,,,TRUE,TRUE,305,7/3/2025,7/10/2025,7/1/2025,"Delivered, Parcel Locker",7/10/2025,1MTEM01A80016970395,
,9234690371472201350653,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A80016975558,
,9200190371472212462848,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/7/2025,1MTEM01A80016978562,
,9200190371472212485328,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTEM01A80016984996,
,9234690371472201356204,,,,TRUE,TRUE,308,7/3/2025,7/7/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/7/2025,1MTEM01A80016986998,
